cpg_id,chr,start,target_gene,distance_bp
cg23564309,chr21,45582447,LINC01678,2703
cg25115941,chr21,45582496,LINC01678,2752
cg10105268,chr21,45583762,LINC01678,4018
cg10257895,chr21,45584141,LINC01678,4397
cg11767442,chr21,45584431,LINC01678,4687
cg08443717,chr21,45585346,LINC01678,5602
cg00377065,chr21,45586586,LINC01678,6842
cg18749043,chr21,45586633,LINC01678,6889
cg14092208,chr21,45588220,LINC01678,8476
cg19116956,chr21,45619448,ICOSLG,23428
cg02087289,chr21,45622095,ICOSLG,20781
cg20198819,chr21,45622121,ICOSLG,20755
cg21305068,chr21,45622218,ICOSLG,20658
cg01992765,chr21,45622492,ICOSLG,20384
cg16424439,chr21,45623004,ICOSLG,19872
cg09762582,chr21,45624177,ICOSLG,18699
cg15348679,chr21,45626490,ICOSLG,16386
cg00429107,chr21,45662812,LOC102723996,1964
cg13053992,chr21,45663170,LOC102723996,2322
cg06907356,chr21,45664137,DNMT3L,2083
cg16087633,chr21,45702038,AIRE,3719
cg18703541,chr21,45762069,CFAP410,2797
cg11150585,chr21,45769976,TRPM2,3506
cg09838568,chr21,45769980,TRPM2,3502
cg05306070,chr21,45770297,TRPM2,3185
cg02477557,chr21,45770389,TRPM2,3093
cg02800013,chr21,45872300,LRRC3-DT,0
cg00106925,chr21,45881104,LRRC3,0
cg20466382,chr21,45881506,LRRC3,0
cg02045981,chr21,45882642,LRRC3,564
cg09121378,chr21,45883589,LRRC3,1511
cg07134627,chr21,45883728,LRRC3,1650
cg12244325,chr21,45883863,LRRC3,1785
cg08461903,chr21,45884824,LRRC3,2746
cg04285033,chr21,46143497,TSPEAR,12011
cg09438382,chr21,46143806,TSPEAR,12320
cg23553008,chr21,46143873,TSPEAR,12387
cg13018197,chr21,46146432,TSPEAR,14946
cg05181597,chr21,46166059,UBE2G2,22434
cg24827626,chr21,46169241,UBE2G2,19252
cg03721140,chr21,46170173,UBE2G2,18320
cg00332248,chr21,46170289,UBE2G2,18204
cg12157440,chr21,46173207,UBE2G2,15286
cg16029659,chr21,46241004,SUMO3,2961
cg08148418,chr21,46267095,PTTG1IP,2403
cg10848140,chr21,46268754,PTTG1IP,744
cg11438134,chr21,46269015,PTTG1IP,483
cg11950982,chr21,46269125,PTTG1IP,373
cg08823554,chr21,46269190,PTTG1IP,308
cg00176309,chr21,46303257,ITGB2,2610
cg27315077,chr21,46404583,LINC00163,5194
cg02579389,chr21,46407003,LINC00163,2774
cg06101661,chr21,46407185,LINC00163,2592
cg10272219,chr21,46407925,LINC00163,1852
cg03234839,chr21,46408036,LINC00163,1741
cg07296260,chr21,46408092,LINC00163,1685
cg14507658,chr21,46408141,LINC00163,1636
cg15765398,chr21,46409993,LINC00163,0
cg23690480,chr21,46410454,LINC00163,0
cg20602417,chr21,46410558,LINC00163,0
cg21275932,chr21,46410876,LINC00163,0
cg11378001,chr21,46411690,LINC00163,0
cg16400350,chr21,46414568,LINC00163,568
cg20756600,chr21,46435805,PICSAR,11164
cg06525127,chr21,46437476,PICSAR,12835
cg13139630,chr21,46438064,PICSAR,13423
cg21536969,chr21,46438174,PICSAR,13533
cg11808885,chr21,46438742,PICSAR,14101
cg00740547,chr21,46439235,PICSAR,14594
cg08846592,chr21,46439341,PICSAR,14700
cg19950556,chr21,46439469,PICSAR,14828
cg23897377,chr21,46441952,PICSAR,17311
cg04564515,chr21,46445690,PICSAR,21049
cg00445318,chr21,46447883,PICSAR,23242
cg12094552,chr21,46449960,PICSAR,25319
cg23687021,chr21,46452393,PICSAR,27752
cg24479382,chr21,46675570,LINC00334,0
cg11663144,chr21,46675769,LINC00334,0
cg06618935,chr21,46677481,LINC00334,0
cg06377222,chr21,46677749,LINC00334,0
cg08450965,chr21,46677778,LINC00334,0
cg10272901,chr21,46677878,LINC00334,0
cg06119162,chr21,46678523,LINC00334,0
cg22633049,chr21,46681293,POFUT2,2555
cg01210084,chr21,46717494,LINC00205,226
cg07521889,chr21,46720181,LINC00205,2913
cg06410273,chr21,46720676,LINC00205,3408
cg23323341,chr21,46722582,LINC00205,5314
cg14180004,chr21,46722776,LINC00205,5508
cg15643703,chr21,46722805,LINC00205,5537
cg15294263,chr21,46723166,LINC00205,5898
cg10719920,chr21,46724842,LINC00205,7574
cg18466173,chr21,46726266,LINC00205,8998
cg22117968,chr21,46768123,LINC00316,6219
cg15140798,chr21,46782484,LINC00316,20580
cg14899046,chr21,46784676,LINC00316,22772
cg20383624,chr21,46785333,LINC00316,23429
cg26958236,chr21,46785337,LINC00316,23433
cg20152484,chr21,46786039,LINC00316,24135
cg09476092,chr21,46787124,LINC00316,25220
cg06868026,chr21,46787812,LINC00316,25908
cg11774346,chr21,46797898,COL18A1,27180
cg26883837,chr21,46798243,COL18A1,26835
cg00705508,chr21,46798396,COL18A1,26682
cg18326819,chr21,46801256,COL18A1,23822
cg01569601,chr21,46811241,COL18A1,13837
cg22410724,chr21,46812995,COL18A1,12083
cg23475244,chr21,46813035,COL18A1,12043
cg03122722,chr21,46813144,COL18A1,11934
cg18073115,chr21,46813297,COL18A1,11781
cg23437810,chr21,46816584,COL18A1,8494
cg22260897,chr21,46822282,COL18A1,2796
ch.21.788740F,chr21,46964225,SLC19A1,0
cg14110008,chr21,46966088,SLC19A1,0
cg00820922,chr21,46973176,SLC19A1,0
cg16376461,chr21,46973298,SLC19A1,0
cg22240348,chr21,46975804,SLC19A1,0
cg25211403,chr21,46975896,SLC19A1,0
cg21139150,chr21,46976174,SLC19A1,0
cg22851299,chr21,46976339,SLC19A1,0
cg00746783,chr21,46977242,SLC19A1,0
cg25143099,chr21,46979543,SLC19A1,0
cg14269083,chr21,47007553,LINC01694,6013
cg08888905,chr21,47008097,LINC01694,5469
cg13840526,chr21,47009145,LINC01694,4421
cg08031958,chr21,47009725,LINC01694,3841
cg09254980,chr21,47010105,LINC01694,3461
cg02983163,chr21,47010460,LINC01694,3106
cg14413354,chr21,47012161,LINC01694,1405
cg24450073,chr21,47013202,LINC01694,364
cg18574298,chr21,47015397,LINC01694,0
cg26666978,chr21,47038530,LINC01694,15561
cg01895398,chr21,47038904,LINC01694,15935
cg16698981,chr21,47049449,PCBP3,14188
cg01848115,chr21,47052150,PCBP3,11487
cg14149623,chr21,47053071,PCBP3,10566
cg07529122,chr21,47054538,PCBP3,9099
cg01917669,chr21,47056697,PCBP3,6940
cg05969018,chr21,47056932,PCBP3,6705
cg06171420,chr21,47058387,PCBP3,5250
cg02458053,chr21,47061441,PCBP3,2196
cg07500325,chr21,47062263,PCBP3,1374
cg16059957,chr21,47062278,PCBP3,1359
cg04753583,chr21,47062564,PCBP3,1073
cg09671060,chr21,47062952,PCBP3,685
cg02184772,chr21,47063027,PCBP3,610
cg23416788,chr21,47064306,PCBP3,0
cg13200482,chr21,47064461,PCBP3,0
ch.21.45966675F,chr21,47142246,PCBP3,0
cg23342358,chr21,47162271,PCBP3,0
cg05707788,chr21,47165436,PCBP3,0
cg07703190,chr21,47165786,PCBP3,0
cg15769689,chr21,47167600,PCBP3,0
cg15239190,chr21,47170465,PCBP3,0
cg07553580,chr21,47172628,PCBP3,0
cg16077168,chr21,47198376,PCBP3,0
cg01932076,chr21,47394658,LOC101928796,0
cg27305917,chr21,47396772,LOC101928796,1906
cg11554566,chr21,47398595,COL6A1,3087
cg06174495,chr21,47399647,COL6A1,2035
cg19315479,chr21,47426938,COL6A1,1977
cg24760717,chr21,47431009,COL6A1,6048
cg02987199,chr21,47434001,COL6A1,9040
cg19469688,chr21,47449363,COL6A1,24402
cg26420795,chr21,47451610,COL6A1,26649
cg04206926,chr21,47453296,COL6A1,28335
cg13604150,chr21,47453519,COL6A1,28558
cg00129785,chr21,47455452,COL6A1,30491
cg25504217,chr21,47455778,COL6A1,30817
cg25439798,chr21,47456314,COL6A1,31353
cg15317049,chr21,47456403,COL6A1,31442
cg12457659,chr21,47456445,COL6A1,31484
cg27144884,chr21,47457187,COL6A1,32226
cg06584329,chr21,47457374,COL6A1,32413
cg22702814,chr21,47457737,COL6A1,32776
cg22391205,chr21,47458586,COL6A1,33625
cg07854182,chr21,47460363,COL6A1,35402
cg06925304,chr21,47469103,COL6A1,44142
cg01209984,chr21,47469678,COL6A1,44717
cg00092565,chr21,47515208,COL6A2,2816
cg01016465,chr21,47580409,SPATC1L,663
cg10351617,chr21,47580737,SPATC1L,335
cg05200811,chr21,47581041,SPATC1L,31
cg12516959,chr21,47718079,YBEY,415
cg25528449,chr21,47720553,C21orf58,0
cg00935361,chr21,47720680,C21orf58,0
ch.21.820555F,chr21,47720934,C21orf58,0
cg09387528,chr21,47876057,DIP2A,2745
cg04375033,chr21,47876637,DIP2A,2165
cg16052237,chr21,48015364,S100B,3151
cg00009944,chr21,48017231,S100B,1284
cg20635920,chr21,48052756,PRMT2,2749
cg04824666,chr21,48085516,PRMT2,481
cg02984790,chr21,48090127,PRMT2,5092
cg07468397,chr21,48090507,PRMT2,5472
cg08821909,chr21,48091010,PRMT2,5975
